NPACT_ID,Compound_Names,CanonicalSMILES,IsomericSMILES,Smiles,InchiKey,PubChem_ID,Cell Line,Cancer,Target
NPACT01976,Jatrophalactone,CC(=O)CC1=C2C3C(C4C(C4(C)C)CCC3(OC2=O)C)C(C1=O)(C)O,CC(=O)CC1=C2[C@H]3[C@@H]([C@@H]4[C@@H](C4(C)C)CC[C@@]3(OC2=O)C)[C@](C1=O)(C)O,O1[C@@]2([C@@H]3[C@@H]([C@H]4C([C@H]4CC2)(C)C)[C@](O)(C(=O)C(=C3C1=O)CC(=O)C)C)C,BTLNQUGRPABJQH-JEJGVTGJSA-N,56955840,A549,Lung,0
NPACT00790,Myricetin,CCCCCCCCC1CCCC1(CCCCCNN)C(=O)O,CCCCCCCC[C@H]1CCC[C@@]1(CCCCCNN)C(=O)O,OC(=O)[C@]1([C@H](CCC1)CCCCCCCC)CCCCCNN,FAFZXSQPKKRCKO-PKOBYXMFSA-N,53788628,A549,Lung,1
NPACT00904,"Resiniferol 20-(4-hydroxy-3-methoxyphenylacetate) 9,13,14-ortho-phenylacetate",CC1CC2(C3C4C1(C5C=C(C(=O)C5(CC(=C4)COC(=O)CC6=CC(=C(C=C6)O)OC)O)C)OC(O3)(O2)CC7=CC=CC=C7)C(=C)C,C[C@@H]1C[C@]2([C@H]3[C@H]4[C@]1([C@H]5C=C(C(=O)[C@]5(CC(=C4)COC(=O)CC6=CC(=C(C=C6)O)OC)O)C)O[C@](O3)(O2)CC7=CC=CC=C7)C(=C)C,O1[C@@]23[C@H]([C@H]4O[C@]1(O[C@]4(C[C@H]2C)C(=C)C)Cc1ccccc1)C=C(C[C@@]1(O)[C@@H]3C=C(C1=O)C)COC(=O)Cc1cc(OC)c(O)cc1,DSDNAKHZNJAGHN-POQFGIRASA-N,53776296,A549,Lung,1
NPACT01966,Hyperibone-L,CC(=CCC1CC2(C(=O)C(=C(C3=CC=CC=C3)O)C(=O)C(C2=O)(C1(C)C)C)CC=C(C)C)C,CC(=CC[C@@H]1C[C@@]2(C(=O)/C(=C(/C3=CC=CC=C3)\O)/C(=O)[C@@](C2=O)(C1(C)C)C)CC=C(C)C)C,O=C1[C@]2(C([C@@H](C[C@@]1(C(=O)/C(=C(O)/c1ccccc1)/C2=O)CC=C(C)C)CC=C(C)C)(C)C)C,HCJVRVGGQLZDSV-WDGCROHVSA-N,53364451,A549,Lung,0
NPACT00774,Methyl zhankuic acid A,CC1C2CC(=O)C3=C(C2(CCC1=O)C)C(=O)CC4(C3CCC4C(C)CCC(=C)C(C)C(=O)OC)C,C[C@H]1[C@@H]2CC(=O)C3=C([C@]2(CCC1=O)C)C(=O)C[C@]4([C@H]3CC[C@@H]4[C@H](C)CCC(=C)C(C)C(=O)OC)C,O=C1C[C@]2([C@@H](CC[C@@H]2[C@@H](CCC(=C)[C@H](C)C(=O)OC)C)C2=C1[C@@]1([C@@H](CC2=O)[C@@H](C(=O)CC1)C)C)C,NZJIIJSJLBIJDO-RTMVVRFTSA-N,53319974,A549,Lung,0
NPACT01847,Acankoreoside-D,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(C4C6CC(C7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C=O)O)C)O)C(=C)C)O)O)O)CO)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)[C@]45CC[C@H]([C@@H]4[C@H]6C[C@H]([C@@H]7[C@]8(CC[C@H]([C@@]([C@@H]8CC[C@]7([C@@]6(CC5)C)C)(C)C=O)O)C)O)C(=C)C)O)O)O)CO)O)O)O,O[C@H]1[C@H]2[C@]([C@]3([C@@H]([C@@H]4[C@@](CC3)(CC[C@H]4C(=C)C)C(=O)O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO[C@@H]3O[C@@H]([C@@H](O[C@H]4O[C@H]([C@H](O)[C@@H](O)[C@H]4O)C)[C@H](O)[C@H]3O)CO)C1)C)(CC[C@@H]1[C@@]2(CC[C@@H](O)[C@@]1(C)C=O)C)C,YDUPASYHRRYIHO-XFMZTBRPSA-N,52944263,A549,Lung,1
NPACT00510,Dinoxin B,CC1=C(C(=O)OC(C1)C(CO)C2CCC3C2(C(CC4C3CC=C5C4(C(=O)C=CC5)C)O)C)COC6C(C(C(C(O6)CO)O)O)O,CC1=C(C(=O)O[C@H](C1)[C@@H](CO)[C@H]2CC[C@@H]3[C@@]2([C@@H](C[C@H]4[C@H]3CC=C5[C@@]4(C(=O)C=CC5)C)O)C)CO[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O,O[C@H]1[C@]2([C@H]([C@H]3[C@H](C1)[C@@]1(C(=CC3)CC=CC1=O)C)CC[C@@H]2[C@@H]([C@@H]1OC(=O)C(=C(C1)C)CO[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)CO)C,LZMUHRZRHBVVTP-MHEOYVQJSA-N,51041991,A549,Lung,1
NPACT01939,Excelsin,CCC(C)C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(C=C5C)O)O)C)OC1=O)O)O)C,CCC(C)C(=O)O[C@@H]1[C@H]2[C@H]([C@H]([C@]3([C@H]4[C@@]2(CO3)[C@@H](C[C@@H]5[C@@]4([C@@H]([C@H](C=C5C)O)O)C)OC1=O)O)O)C,O1[C@]2(O)[C@H]3[C@@]4([C@H]([C@H]([C@H]2O)C)[C@@H](OC(=O)C(CC)C)C(=O)O[C@@H]4C[C@@H]2[C@@]3([C@H](O)[C@@H](O)C=C2C)C)C1,OQQPVKBRTSQMEC-VCVHXTQBSA-N,49866283,A549,Lung,0
NPACT01436,"4-hydroxy-2,6,4'-trimethoxydihydrochalcone",COC1=CC=C(C=C1)C(=O)CCC2=C(C=C(C=C2OC)O)OC,COC1=CC=C(C=C1)C(=O)CCC2=C(C=C(C=C2OC)O)OC,O(c1c(CCC(=O)c2ccc(OC)cc2)c(OC)cc(O)c1)C,SQOAYFPNWVZJQO-UHFFFAOYSA-N,46883374,A549,Lung,0
NPACT01253,longilactone,CC1C(C(C2C3(C1C(=O)OC3C(C4C2(C(C(=O)C=C4C)O)C)O)C)O)O,C[C@H]1[C@@H]([C@@H]([C@@H]2[C@@]3([C@@H]([C@H]([C@@H]4[C@]2(C1C(=O)O4)C)O)C(=CC(=O)[C@H]3O)C)C)O)O,O1[C@H]2[C@@]3([C@@H]([C@@]4([C@@H]([C@H]2O)C(=CC(=O)[C@H]4O)C)C)[C@@H](O)[C@@H](O)[C@@H](C3C1=O)C)C,KBBRVTNGCNCUCX-GZKGTQTLSA-N,46878941,A549,Lung,1
