NPACT_ID,Compound_Names,CanonicalSMILES,IsomericSMILES,Smiles,InchiKey,PubChem_ID,Cell Line,Cancer,Target
NPACT02063,Withalongolide-D,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)CC(C6O)OC)CO)O5)C)CO,CC1=C(C(=O)OC(C1)[C@@H](C)C2CCC3[C@@]2(CCC4C3C[C@@H]5[C@]6([C@@]4(C(=O)C[C@@H]([C@@H]6O)OC)CO)O5)C)CO,O1[C@@]23[C@@](C4C(C5[C@@](C(CC5)[C@@H](C5OC(=O)C(=C(C5)C)CO)C)(CC4)C)C[C@@H]12)(C(=O)C[C@H](OC)[C@@H]3O)CO,XGLFAAWROSMYJO-CLDFYNDNSA-N,56649373,MRC5,Lung,0
NPACT02060,tryptanthrin,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,O=C1c2n(c3c1cccc3)c(=O)c1c(n2)cccc1,VQQVWGVXDIPORV-UHFFFAOYSA-N,73549,NCI-H460,Lung,0
NPACT02058,Trilobacin,CCCCCCCCCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCC(CC3=CC(OC3=O)C)O)O)O,CCCCCCCCCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCC(CC3=CC(OC3=O)C)O)O)O,O1C(C2OC(CC2)C(O)CCCCCCCCCC)CCC1C(O)CCCCCCCCCCC(O)CC1=CC(OC1=O)C,MBABCNBNDNGODA-UHFFFAOYSA-N,130056,A549,Lung,1
NPACT02056,Toxyloxanthone-B,CC1(C=CC2=C(O1)C(=CC3=C2C(=O)C4=C(C=C(C=C4O3)O)O)O)C,CC1(C=CC2=C(O1)C(=CC3=C2C(=O)C4=C(C=C(C=C4O3)O)O)O)C,O1C(C=Cc2c1c(O)cc1oc3c(c(=O)c21)c(O)cc(O)c3)(C)C,MFKYNKVEQUTJEH-UHFFFAOYSA-N,14886044,A549,Lung,0
NPACT02050,Squamotacin,CCCCCCCCCCCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCC(CC3=CC(OC3=O)C)O)O)O,CCCCCCCCCCCC[C@@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCCCCCC[C@H](CC3=C[C@@H](OC3=O)C)O)O)O,O1[C@@H]([C@@H]2O[C@H](CC2)[C@@H](O)CCCCCCCCCCCC)CC[C@@H]1[C@H](O)CCCCCCCC[C@@H](O)CC1=C[C@@H](OC1=O)C,GXZZLWVQYXFTJE-LUVUIASKSA-N,9960733,A549,Lung,1
NPACT02047,Selinidin,CC=C(C)C(=O)OC1CC2=C(C=CC3=C2OC(=O)C=C3)OC1(C)C,C/C=C(/C)\C(=O)O[C@H]1CC2=C(C=CC3=C2OC(=O)C=C3)OC1(C)C,O1C([C@@H](OC(=O)/C(=CC)/C)Cc2c1ccc1c2oc(=O)cc1)(C)C,RRHCDWLSHIIIIT-GHAIFCDISA-N,668079,A549,Lung,0
NPACT02038,Sampangine,C1=CC=C2C(=C1)C3=NC=CC4=C3C(=NC=C4)C2=O,C1=CC=C2C(=C1)C3=NC=CC4=C3C(=NC=C4)C2=O,O=C1c2c(c3nccc4c3c1ncc4)cccc2,BWQKHOMAOVUASZ-UHFFFAOYSA-N,387195,H-460,Lung,1
NPACT02036,Rollitacin,CCCCCC(C(CCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCCCC3=CC(OC3=O)C)O)O)O)O,CCCCCC(C(CCC[C@@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCCCCCCCCCCC3=C[C@@H](OC3=O)C)O)O)O)O,O1[C@@H]([C@@H]2O[C@H](CC2)[C@H](O)CCCCCCCCCCCCC2=C[C@@H](OC2=O)C)CC[C@@H]1[C@@H](O)CCCC(O)C(O)CCCCC,SWLPIUHJTSWWOJ-RINKTZIGSA-N,393469,A549,Lung,1
NPACT02033,Rollinacin,CCCCCCCCCCCCC(C1CCC(O1)C2CCC(O2)CC(CCCCCC(CC3=CC(OC3=O)C)O)O)O,CCCCCCCCCCCC[C@H]([C@H]1CCC(O1)C2CCC(O2)CC(CCCCC[C@H](CC3=C[C@@H](OC3=O)C)O)O)O,O1C(C2OC(CC2)CC(O)CCCCC[C@@H](O)CC2=C[C@@H](OC2=O)C)CC[C@@H]1[C@H](O)CCCCCCCCCCCC,AAJKTJJGBYWRHK-QCOIHMLWSA-N,44559066,A549,Lung,1
NPACT02032,Rollidecin-D,CCCCCCCCCCCCC(C1CCC(O1)C2CCC(O2)CCCCCCCCCC(CC3=CC(OC3=O)C)O)O,CCCCCCCCCCCC[C@H]([C@H]1CC[C@H](O1)[C@@H]2CC[C@H](O2)CCCCCCCCC[C@H](CC3=C[C@@H](OC3=O)C)O)O,O1[C@H]([C@H]2O[C@@H](CC2)CCCCCCCCC[C@@H](O)CC2=C[C@@H](OC2=O)C)CC[C@@H]1[C@H](O)CCCCCCCCCCCC,KEMYLKFITCBCHA-XVDUUFTGSA-N,10054425,A549,Lung,0
